sys_time,"missn,_time","_Vind,_kias","engn1,__rpm","alpha,__deg","_roll,__deg","_land,groll","pitch,__deg","__VVI,__fpm","p-alt,ftMSL","hding,__mag","pilN1,dme-d","pilN1,h-def","pilN1,v-def"
2023-11-06 13:02:08,0.05025125667452812,106.91043853759766,2642.816162109375,-1.02109694480896,-0.07466936111450195,0.0,-1.984391450881958,-100.70628356933594,7213.4814453125,29.461572647094727,27.5390625,2.2615647315979004,-2.4998302459716797
2023-11-06 13:02:09,1.0554348230361938,88.09008026123047,2393.042724609375,-1.2322821617126465,0.06838848441839218,0.0,-2.71496844291687,-167.01353454589844,7665.51513671875,30.229116439819336,27.510099411010742,2.49606990814209,-2.499997615814209
2023-11-06 13:02:10,2.0682127475738525,109.58075714111328,2373.296630859375,-1.186607837677002,0.2602429986000061,0.0,-3.4893126487731934,-345.6852111816406,7127.4326171875,29.72871971130371,27.481098175048828,2.4999377727508545,-2.5
2023-11-06 13:02:11,3.0871458053588867,115.0888442993164,2367.486328125,-0.7145826816558838,0.4956204295158386,0.0,-2.0707247257232666,-466.7820739746094,6973.8955078125,30.119131088256836,27.452083587646484,2.4999985694885254,-2.499999523162842
2023-11-06 13:02:12,4.0989298820495605,115.61509704589844,2360.04736328125,-1.037081241607666,0.7043939828872681,0.0,-1.7875455617904663,-359.5104064941406,6938.4013671875,30.01404571533203,27.42352294921875,2.5,-2.5
2023-11-06 13:02:13,5.114622116088867,115.00714111328125,2351.743896484375,-1.1290583610534668,0.9337228536605835,0.0,-3.163822889328003,-309.643798828125,6928.2314453125,30.208295822143555,27.395122528076172,2.499999523162842,-2.499999523162842
2023-11-06 13:02:14,6.123999118804932,114.43955993652344,2348.363037109375,-1.1517130136489868,1.165349006652832,0.0,-4.243781089782715,-475.4707946777344,6920.990234375,30.300691604614258,27.36707878112793,2.4999988079071045,-2.4999988079071045
2023-11-06 13:02:15,7.1335320472717285,114.15441131591797,2347.66357421875,-1.136676549911499,1.3795348405838013,0.0,-5.321340084075928,-700.4141235351562,6911.00634765625,30.49142074584961,27.339162826538086,2.500000238418579,-2.500000238418579
2023-11-06 13:02:16,8.137419700622559,114.14892578125,2347.423095703125,-1.1542718410491943,0.8722244501113892,0.0,-4.84902286529541,-822.1185913085938,6897.7783203125,30.727386474609375,27.31147575378418,2.500000476837158,-2.500000476837158
2023-11-06 13:02:17,9.145705223083496,114.0254135131836,2343.688232421875,-1.046260952949524,-3.4211642742156982,0.0,-1.944818139076233,-664.8923950195312,6884.5546875,31.161287307739258,27.283788681030273,2.5,-2.5
2023-11-06 13:02:19,10.155176162719727,113.3979263305664,2333.8935546875,4.087888717651367,1.4422369003295898,0.0,5.2915940284729,-388.19805908203125,6876.091796875,29.717496871948242,27.2562198638916,2.499999523162842,-2.499999523162842
2023-11-06 13:02:20,11.165399551391602,111.59922790527344,2311.237060546875,-0.6225466728210449,1.417490005493164,0.0,7.6775898933410645,589.6591186523438,6876.38232421875,30.85409927368164,27.22943687438965,2.5,-2.5
2023-11-06 13:02:21,12.170221328735352,108.7027359008789,2156.412841796875,-1.3485413789749146,1.8017528057098389,0.0,9.699488639831543,1571.7281494140625,6895.14892578125,31.06231117248535,27.204113006591797,2.5,-2.482342481613159
2023-11-06 13:02:22,13.1792573928833,104.84210968017578,2022.0968017578125,0.010833058506250381,2.0658509731292725,0.0,6.318130970001221,1749.1435546875,6925.0673828125,31.142745971679688,27.179704666137695,2.500000238418579,-2.4369211196899414
2023-11-06 13:02:23,14.183502197265625,101.46014404296875,1929.596435546875,-2.5563385486602783,2.286064624786377,0.0,0.043066851794719696,1279.382080078125,6950.59619140625,31.69464874267578,27.156005859375,2.500000238418579,-2.405038833618164
2023-11-06 13:02:24,15.195735931396484,98.63258361816406,1892.1517333984375,-0.4234866201877594,-3.8705430030822754,0.0,4.102345943450928,712.0669555664062,6966.47998046875,32.68766784667969,27.132583618164062,2.500000238418579,-2.3860087394714355
2023-11-06 13:02:25,16.201007843017578,96.26361083984375,1867.9996337890625,0.4410965144634247,1.485888123512268,0.0,-0.4053891897201538,409.4414978027344,6976.876953125,30.446523666381836,27.10975456237793,2.499999523162842,-2.370306968688965
2023-11-06 13:02:26,17.209945678710938,94.97628784179688,1857.946533203125,-1.6114176511764526,1.3624942302703857,0.0,-7.342648506164551,-215.8026580810547,6978.74267578125,31.511817932128906,27.08699607849121,2.500000238418579,-2.3702447414398193
2023-11-06 13:02:27,18.218994140625,94.88737487792969,1860.7716064453125,1.740694284439087,1.8487896919250488,0.0,-3.6440603733062744,-914.18310546875,6968.544921875,32.25305938720703,27.064228057861328,2.5,-2.385904550552368
2023-11-06 13:02:28,19.224441528320312,95.192138671875,1863.341552734375,3.9312286376953125,1.8275309801101685,0.0,0.5944522619247437,-973.8599243164062,6952.109375,32.088626861572266,27.04159927368164,2.499999761581421,-2.3989675045013428
2023-11-06 13:02:29,20.22879981994629,94.82840728759766,1855.941650390625,1.664669394493103,-1.683122158050537,0.0,1.9843342304229736,-506.8966979980469,6939.1513671875,33.196441650390625,27.019248962402344,2.5000009536743164,-2.399768352508545
2023-11-06 13:02:30,21.236724853515625,94.00141143798828,1846.088134765625,0.9931063652038574,-2.8211255073547363,0.0,0.07354650646448135,-137.80917358398438,6934.5361328125,32.039100646972656,26.997129440307617,2.5,-2.3928439617156982
2023-11-06 13:02:31,22.249286651611328,93.0679702758789,1836.235107421875,2.0250253677368164,-2.9709856510162354,0.0,1.3074123859405518,-141.08750915527344,6932.2724609375,31.280216217041016,26.974987030029297,2.5,-2.388596534729004
